epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3279,0.59824,1.09089,0.91125,0.94311,0.95969,0.96911,0.87774,0.44262,1.18074,0.84306,0.00036,0.00036,0.00036
2,177.716,0.44141,0.40277,0.83017,0.95378,0.96264,0.9752,0.90288,0.39266,0.63903,0.84086,0.00072779,0.00072779,0.00072779
3,259.406,0.42824,0.37621,0.8268,0.96837,0.96378,0.98236,0.90457,0.40282,0.5812,0.83976,0.00108304,0.00108304,0.00108304
4,339.288,0.42368,0.36621,0.82604,0.91674,0.96535,0.97777,0.90064,0.39107,0.61906,0.83124,0.00142575,0.00142575,0.00142575
5,421.422,0.41421,0.34127,0.82277,0.94614,0.96639,0.98373,0.91996,0.36602,0.42987,0.81829,0.00175592,0.00175592,0.00175592
6,503.51,0.44216,0.34861,0.82269,0.94259,0.95705,0.97479,0.89916,0.38663,0.49623,0.82023,0.001835,0.001835,0.001835
7,584.946,0.41942,0.33688,0.82215,0.94778,0.98029,0.9802,0.91237,0.36898,0.35932,0.81986,0.001802,0.001802,0.001802
8,666.04,0.4026,0.32877,0.82227,0.97157,0.9752,0.98882,0.91353,0.4035,0.32407,0.82418,0.001769,0.001769,0.001769
9,747.388,0.40005,0.31899,0.81802,0.97442,0.97486,0.98809,0.92723,0.35822,0.30659,0.81556,0.001736,0.001736,0.001736
10,828.029,0.37865,0.3166,0.81663,0.96651,0.97352,0.98806,0.91952,0.36598,0.31166,0.8187,0.001703,0.001703,0.001703
11,909.312,0.36903,0.30352,0.81221,0.97641,0.9743,0.98932,0.93344,0.34928,0.29645,0.81179,0.00167,0.00167,0.00167
12,996.681,0.37824,0.30284,0.8161,0.97275,0.9747,0.98869,0.9394,0.32728,0.28566,0.81204,0.001637,0.001637,0.001637
13,1087.37,0.38898,0.3044,0.81928,0.97498,0.9743,0.98804,0.93219,0.33732,0.28172,0.81056,0.001604,0.001604,0.001604
14,1183.47,0.3783,0.29782,0.81333,0.96169,0.97487,0.9874,0.93666,0.33194,0.29565,0.81387,0.001571,0.001571,0.001571
15,1277.6,0.36566,0.29418,0.81201,0.97053,0.97845,0.98835,0.93449,0.33243,0.28249,0.8108,0.001538,0.001538,0.001538
16,1371.45,0.35596,0.29138,0.81136,0.97585,0.97476,0.98761,0.93586,0.33295,0.2699,0.80938,0.001505,0.001505,0.001505
17,1464.37,0.35712,0.28553,0.81023,0.97385,0.97588,0.98879,0.94292,0.31749,0.26567,0.80733,0.001472,0.001472,0.001472
18,1557.59,0.35861,0.28625,0.81119,0.97387,0.97606,0.98964,0.94344,0.31594,0.26015,0.8077,0.001439,0.001439,0.001439
19,1650.88,0.34609,0.27775,0.80949,0.97413,0.97506,0.98893,0.94241,0.31478,0.25723,0.80462,0.001406,0.001406,0.001406
20,1742.87,0.33922,0.27406,0.80854,0.97371,0.97646,0.98849,0.94159,0.31402,0.25388,0.80446,0.001373,0.001373,0.001373
21,1835.56,0.34771,0.27141,0.80596,0.97277,0.97499,0.98825,0.94278,0.32327,0.26059,0.80796,0.00134,0.00134,0.00134
22,1927.66,0.3443,0.27281,0.81219,0.97542,0.97176,0.98903,0.94318,0.31687,0.25183,0.81161,0.001307,0.001307,0.001307
23,2020.93,0.34049,0.26992,0.80782,0.9767,0.97424,0.9891,0.9448,0.31093,0.24646,0.80747,0.001274,0.001274,0.001274
24,2103.26,0.335,0.26317,0.80607,0.97754,0.97318,0.98918,0.94183,0.3198,0.2595,0.80804,0.001241,0.001241,0.001241
25,2197.82,0.33738,0.2664,0.80429,0.97815,0.97205,0.98846,0.94557,0.30343,0.24653,0.80691,0.001208,0.001208,0.001208
26,2294,0.33888,0.26348,0.80622,0.97607,0.97529,0.98876,0.94594,0.3071,0.24663,0.80751,0.001175,0.001175,0.001175
